GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
LEB App Server,com.leb.app.web.rest.vm,LoginVM,30,0,0,0,11,0,8,0,8,0
LEB App Server,com.leb.app.web.rest.vm,KeyAndPasswordVM,17,0,0,0,7,0,5,0,5,0
LEB App Server,com.leb.app.web.rest.vm,ManagedUserVM,14,0,0,0,6,0,4,0,4,0
LEB App Server,com.leb.app.security.jwt,JWTFilter,0,51,0,8,0,14,0,7,0,3
LEB App Server,com.leb.app.security.jwt,TokenProvider,10,170,2,4,1,39,2,6,0,5
LEB App Server,com.leb.app.security.jwt,JWTConfigurer,18,0,0,0,6,0,2,0,2,0
LEB App Server,com.leb.app.config,LocaleConfiguration,24,0,0,0,8,0,3,0,3,0
LEB App Server,com.leb.app.config,LoggingConfiguration,53,0,8,0,15,0,5,0,1,0
LEB App Server,com.leb.app.config,SecurityConfiguration,237,0,0,0,56,0,5,0,5,0
LEB App Server,com.leb.app.config,AsyncConfiguration,50,0,0,0,12,0,3,0,3,0
LEB App Server,com.leb.app.config,CacheConfiguration,180,0,2,0,42,0,10,0,9,0
LEB App Server,com.leb.app.config,DateTimeFormatConfiguration,14,0,0,0,5,0,2,0,2,0
LEB App Server,com.leb.app.config,ApplicationProperties,3,0,0,0,1,0,1,0,1,0
LEB App Server,com.leb.app.config,StaticResourcesWebConfiguration,0,70,0,0,0,13,0,7,0,7
LEB App Server,com.leb.app.config,LiquibaseConfiguration,95,0,2,0,24,0,3,0,2,0
LEB App Server,com.leb.app.config,LoggingAspectConfiguration,8,0,0,0,2,0,2,0,2,0
LEB App Server,com.leb.app.config,JacksonConfiguration,23,0,0,0,6,0,6,0,6,0
LEB App Server,com.leb.app.config,WebConfigurer,12,136,5,7,3,36,5,7,0,6
LEB App Server,com.leb.app.config,DatabaseConfiguration,3,0,0,0,1,0,1,0,1,0
LEB App Server,com.leb.app.service.criteria,RequestCriteria.StatusFilter,12,0,0,0,4,0,3,0,3,0
LEB App Server,com.leb.app.service.criteria,RequestCriteria,931,0,158,0,183,0,142,0,63,0
LEB App Server,com.leb.app.service.criteria,DeliveryManCriteria,790,0,134,0,156,0,121,0,54,0
LEB App Server,com.leb.app.service.criteria,DimensionsCriteria,273,0,46,0,57,0,44,0,21,0
LEB App Server,com.leb.app.service.criteria,PointCriteria,696,0,118,0,138,0,107,0,48,0
LEB App Server,com.leb.app.service.criteria,ZoneCriteria,226,0,38,0,48,0,37,0,18,0
